PID COMMAND
1 /sbin/init
2 [kthreadd]
3 [ksoftirqd/0]
5 [kworker/0:0H]
7 [rcu_sched]
8 [rcuos/0]
9 [rcuos/1]
10 [rcuos/2]
11 [rcuos/3]
12 [rcu_bh]
13 [rcuob/0]
14 [rcuob/1]
15 [rcuob/2]
16 [rcuob/3]
17 [migration/0]
18 [watchdog/0]
19 [watchdog/1]
20 [migration/1]
21 [ksoftirqd/1]
23 [kworker/1:0H]
24 [watchdog/2]
25 [migration/2]
26 [ksoftirqd/2]
28 [kworker/2:0H]
29 [watchdog/3]
30 [migration/3]
31 [ksoftirqd/3]
33 [kworker/3:0H]
34 [khelper]
35 [kdevtmpfs]
36 [netns]
37 [writeback]
38 [kintegrityd]
39 [bioset]
40 [kworker/u9:0]
41 [kblockd]
42 [kworker/0:1]
43 [ata_sff]
44 [khubd]
45 [md]
46 [devfreq_wq]
47 [kworker/1:1]
49 [khungtaskd]
50 [kswapd0]
51 [ksmd]
52 [khugepaged]
53 [fsnotify_mark]
54 [ecryptfs-kthrea]
55 [crypto]
67 [kthrotld]
69 [kworker/2:1]
88 [deferwq]
89 [charger_manager]
95 [kworker/3:1]
141 [kpsmoused]
142 [kworker/1:2]
143 [scsi_eh_0]
144 [scsi_eh_1]
145 [scsi_eh_2]
146 [scsi_eh_3]
148 [kworker/u8:3]
150 [kworker/u8:5]
151 [kworker/2:2]
161 [jbd2/sda2-8]
162 [ext4-rsv-conver]
307 upstart-udev-bridge
313 /lib/systemd/systemd-udevd
371 [kworker/u9:1]
409 [irq/45-mei_me]
423 [kvm-irqfd-clean]
504 upstart-socket-bridge
506 [hd-audio0]
507 [hd-audio1]
515 [kworker/3:2]
554 [kworker/0:2]
624 [jbd2/sda1-8]
625 [ext4-rsv-conver]
631 [jbd2/sda4-8]
632 [ext4-rsv-conver]
641 [jbd2/sda5-8]
642 [ext4-rsv-conver]
745 upstart-file-bridge
769 rsyslogd
867 /sbin/getty
871 /sbin/getty
880 /sbin/getty
881 /sbin/getty
885 /sbin/getty
914 /usr/sbin/cups-browsed
923 acpid
934 /usr/sbin/irqbalance
940 atd
941 cron
959 /usr/sbin/sshd
964 dbus-daemon
997 /usr/sbin/ModemManager
1003 /usr/sbin/bluetoothd
1028 whoopsie
1043 avahi-daemon:
1045 avahi-daemon:
1050 [krfcommd]
1061 /usr/sbin/mysqld
1069 /lib/systemd/systemd-logind
1072 NetworkManager
1080 /usr/lib/policykit-1/polkitd
