PID COMMAND
1 /sbin/init
2 [kthreadd]
3 [ksoftirqd/0]
5 [kworker/0:0H]
7 [rcu_sched]
8 [rcuos/0]
9 [rcuos/1]
10 [rcuos/2]
11 [rcuos/3]
12 [rcu_bh]
13 [rcuob/0]
14 [rcuob/1]
15 [rcuob/2]
16 [rcuob/3]
17 [migration/0]
18 [watchdog/0]
19 [watchdog/1]
20 [migration/1]
21 [ksoftirqd/1]
23 [kworker/1:0H]
24 [watchdog/2]
25 [migration/2]
26 [ksoftirqd/2]
28 [kworker/2:0H]
29 [watchdog/3]
30 [migration/3]
31 [ksoftirqd/3]
33 [kworker/3:0H]
34 [khelper]
35 [kdevtmpfs]
36 [netns]
37 [writeback]
38 [kintegrityd]
39 [bioset]
40 [kworker/u9:0]
41 [kblockd]
42 [kworker/0:1]
43 [ata_sff]
44 [khubd]
45 [md]
46 [devfreq_wq]
47 [kworker/1:1]
49 [khungtaskd]
50 [kswapd0]
51 [ksmd]
52 [khugepaged]
53 [fsnotify_mark]
54 [ecryptfs-kthrea]
55 [crypto]
67 [kthrotld]
69 [kworker/2:1]
88 [deferwq]
89 [charger_manager]
140 [kpsmoused]
141 [kworker/1:2]
142 [scsi_eh_0]
143 [scsi_eh_1]
144 [scsi_eh_2]
145 [scsi_eh_3]
147 [kworker/u8:3]
150 [kworker/2:2]
154 [kworker/3:1]
164 [kworker/u9:1]
165 [jbd2/sda2-8]
166 [ext4-rsv-conver]
299 upstart-udev-bridge
303 /lib/systemd/systemd-udevd
472 [kworker/3:2]
474 [hd-audio1]
489 upstart-socket-bridge
497 [irq/46-mei_me]
501 [kvm-irqfd-clean]
520 [hd-audio0]
598 [kworker/0:2]
630 [jbd2/sda1-8]
631 [ext4-rsv-conver]
636 [jbd2/sda5-8]
637 [ext4-rsv-conver]
658 [jbd2/sda4-8]
659 [ext4-rsv-conver]
769 upstart-file-bridge
828 rsyslogd
878 /sbin/getty
882 /sbin/getty
891 /sbin/getty
892 /sbin/getty
896 /sbin/getty
924 /usr/sbin/sshd
927 acpid
948 /usr/sbin/cups-browsed
970 /usr/sbin/irqbalance
982 cron
983 atd
1004 /usr/sbin/mysqld
1010 whoopsie
1020 dbus-daemon
1045 /usr/sbin/ModemManager
1051 /usr/sbin/bluetoothd
1099 avahi-daemon:
1101 avahi-daemon:
1121 [krfcommd]
1133 NetworkManager
1139 /usr/lib/policykit-1/polkitd
1159 /lib/systemd/systemd-logind
